Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
producer,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,,
recording,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,,,,
recording engineering,Rick Dior,https://pages.charlotte.edu/connections/people/rmdior/,,,,
directing,Shayna Stahl,https://pages.charlotte.edu/connections/people/sstahl8/,Laura Waringer,https://pages.charlotte.edu/connections/people/lwaringe/,Kaja Dunn,https://pages.charlotte.edu/connections/people/kdunn32/
drama,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/,Dean Adams,https://pages.charlotte.edu/connections/people/ladams45/,,
ballet,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/,Karen Hubbard,https://pages.charlotte.edu/connections/people/kwhubbar/,Delia Neil,https://pages.charlotte.edu/connections/people/dlneil/
digital illustration,Robert Campbell,https://pages.charlotte.edu/connections/people/rcampb44/,,,,
collaboration,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Kaustavi Sarkar,https://pages.charlotte.edu/connections/people/ksarkar/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
energy modeling,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/,,,,
contemporary ballet,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,,,
dance pedagogy,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,,,
dance technique,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,,,
interdisciplinary collaboration,Andrew Willis,https://pages.charlotte.edu/connections/people/arwillis/,Gretchen Alterowitz,https://pages.charlotte.edu/connections/people/galterow/,,
sexuality,Meagan Zarwell,https://pages.charlotte.edu/connections/people/mzarwell/,Rob Cramer,https://pages.charlotte.edu/connections/people/rcramer4/,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/
sustainability,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Liz McCormick,https://pages.charlotte.edu/connections/people/emccorm4/,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/
circus arts,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
energy,Chris Jarrett,https://pages.charlotte.edu/connections/people/cjarret5/,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/,,
arts criticism,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,,,,
human-machine relationships,Rachel Dickey,https://pages.charlotte.edu/connections/people/rdickey4/,,,,
material and acoustics,Rachel Dickey,https://pages.charlotte.edu/connections/people/rdickey4/,,,,
robotic fabrication,Rachel Dickey,https://pages.charlotte.edu/connections/people/rdickey4/,,,,
robotics,Artur Wolek,https://pages.charlotte.edu/connections/people/awolek/,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Rachel Dickey,https://pages.charlotte.edu/connections/people/rdickey4/
technology and architecture,Catty Dan Zhang,https://pages.charlotte.edu/connections/people/dzhang14/,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Chengde Wu,https://pages.charlotte.edu/connections/people/cwu23/
american culture,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Julia Robinson,https://pages.charlotte.edu/connections/people/julia-robinson/
cultural policy,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,,,,
body and technology in architecture,,,,,,
english literature,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Andrew Hartley,https://pages.charlotte.edu/connections/people/ajhartle/,Ana-Isabel Aliaga-Buchenau,https://pages.charlotte.edu/connections/people/ana-isabel-aliaga-buchenau/
theatre arts,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,,,,
theatre history,Laura Waringer,https://pages.charlotte.edu/connections/people/lwaringe/,Lynne Conner,https://pages.charlotte.edu/connections/people/lconner2/,Andrew Hartley,https://pages.charlotte.edu/connections/people/ajhartle/
medieval,Nancy Bishop,https://pages.charlotte.edu/connections/people/nbishop5/,,,,
medieval art,Nancy Bishop,https://pages.charlotte.edu/connections/people/nbishop5/,,,,
superstitions,Nancy Bishop,https://pages.charlotte.edu/connections/people/nbishop5/,,,,
design studio,,,,,,
Sephardic music,,,,,,
affordable housing,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,Peter Wong,https://pages.charlotte.edu/connections/people/plwong/,,
diversity,Mya Wilson,https://pages.charlotte.edu/connections/people/mwils211/,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/
art theory and practice,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,,,,
identity,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Emily Makas,https://pages.charlotte.edu/connections/people/emakas/,Eddy Souffrant,https://pages.charlotte.edu/connections/people/eddy-souffrant/
mass media,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Andrew Leventis,https://pages.charlotte.edu/connections/people/aleventi/,Timothy Horne,https://pages.charlotte.edu/connections/people/timothy-horne/
popular culture,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Andrew Leventis,https://pages.charlotte.edu/connections/people/aleventi/,Jay Morong,https://pages.charlotte.edu/connections/people/jmorong/
portraiture,"Jessica ""J.B."" Burke",https://pages.charlotte.edu/connections/people/jburke43/,Aspen Hochhalter,https://pages.charlotte.edu/connections/people/ahochhal/,,
African-American music,,,,,,
equity,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,Bianca Reisdorf,https://pages.charlotte.edu/connections/people/breisdor/
music history,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,James Grymes,https://pages.charlotte.edu/connections/people/jagrymes/
performance practice,,,,,,
race,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Tianca Crocker,https://pages.charlotte.edu/connections/people/tcrocke7/,Kelsey Klotz,https://pages.charlotte.edu/connections/people/kklotz1/
vocal pedagogy,Sequina DuBose,https://pages.charlotte.edu/connections/people/sdubose5/,,,,
breathing,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,,,,
historical music language,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,,,,
Judaism,Audrey Babcock,https://pages.charlotte.edu/connections/people/ababcoc3/,Simon Gibson,https://pages.charlotte.edu/connections/people/sgibso34/,Robert McEachnie,https://pages.charlotte.edu/connections/people/robert-mceachnie/
Ladino language,,,,,,
visual art,,,,,,
architectural history,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,Peter Wong,https://pages.charlotte.edu/connections/people/plwong/
construction sustainability,Blaine Brownell,https://pages.charlotte.edu/connections/people/bbrowne3/,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/,,
Latin American Cultural Studies,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
acrobatics,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
acting,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Laura Waringer,https://pages.charlotte.edu/connections/people/lwaringe/,Kaja Dunn,https://pages.charlotte.edu/connections/people/kdunn32/
aerial,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
circus,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
circus and theatre,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
contemporary circus,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
latin american immigration,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,Gregory Weeks,https://pages.charlotte.edu/connections/people/gregory-weeks/,,
puppetry,Tom Burch,https://pages.charlotte.edu/connections/people/tburch8/,,,,
physical theatre,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/,,
Renaissance commedia,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
urban storytelling,Carlos Cruz Casas,https://pages.charlotte.edu/connections/people/ccruzcas/,,,,
tectonics,Kelly Carlson-Reddig,https://pages.charlotte.edu/connections/people/kcarlson/,Chris Jarrett,https://pages.charlotte.edu/connections/people/cjarret5/,Andy Bobyarchick,https://pages.charlotte.edu/connections/people/andy-bobyarchick/
building design,David Costanza,https://pages.charlotte.edu/connections/people/dcostan2/,Chengde Wu,https://pages.charlotte.edu/connections/people/cwu23/,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/
climate,Liz McCormick,https://pages.charlotte.edu/connections/people/emccorm4/,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,Kelly Carlson-Reddig,https://pages.charlotte.edu/connections/people/kcarlson/
climate-responsive building design,Mona Azarbayjani,https://pages.charlotte.edu/connections/people/mazarbay/,,,,
stage production,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Tom Burch,https://pages.charlotte.edu/connections/people/tburch8/,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/
performance space,Tom Burch,https://pages.charlotte.edu/connections/people/tburch8/,,,,
bid data systems-modeling,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,,,,
urban design,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Lidia Klein,https://pages.charlotte.edu/connections/people/lklein7/,Brook Muller,https://pages.charlotte.edu/connections/people/bmuller7/
disasters,Erin Eldridge,https://pages.charlotte.edu/connections/people/eeldrid3/,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,,
environmental resilience,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,,,,
food systems,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,,,,
public-engagement design,,,,,,
publicly-engaged design,,,,,,
social empowerment,Nadia Anderson,https://pages.charlotte.edu/connections/people/nander35/,,,,
clothing history,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,,,,
interactive theatre,Tom Burch,https://pages.charlotte.edu/connections/people/tburch8/,,,,
costume crafts,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,,,,
costume design,Rachel Engstrom,https://pages.charlotte.edu/connections/people/rengstr1/,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,,
costuming,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,,,,
stage makeup,Allison Amidei,https://pages.charlotte.edu/connections/people/aamidei/,,,,
lighting design,Bruce Auerbach,https://pages.charlotte.edu/connections/people/bcauerba/,David Fillmore,https://pages.charlotte.edu/connections/people/dmfillmo/,Gordon Olson,https://pages.charlotte.edu/connections/people/golson1/
stage,Chris Berry,https://pages.charlotte.edu/connections/people/cberry18/,Bruce Auerbach,https://pages.charlotte.edu/connections/people/bcauerba/,Rachel Watkins,https://pages.charlotte.edu/connections/people/rswenso1/
stage design,Bruce Auerbach,https://pages.charlotte.edu/connections/people/bcauerba/,,,,
printmaking,Jennifer Wallace,https://pages.charlotte.edu/connections/people/jwalla52/,Kristin Rothrock,https://pages.charlotte.edu/connections/people/krothroc/,David Brodeur,https://pages.charlotte.edu/connections/people/dbbrodeu/
Topic,first_Author,URL_forAuthor1,second_Author,URL_forAuthor2,third_Author,URL_forAuthor3
bioinformatics,Tingting Xiang,https://pages.charlotte.edu/connections/people/txiang/,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Jing Yang,https://pages.charlotte.edu/connections/people/jyang13/
computer science,Chengde Wu,https://pages.charlotte.edu/connections/people/cwu23/,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
data mining,Yaorong Ge,https://pages.charlotte.edu/connections/people/yge/,Mirsad Hadzikadic,https://pages.charlotte.edu/connections/people/mirsad/,Angelina Tzacheva,https://pages.charlotte.edu/connections/people/aatzache/
machine learning,Benjamin Radford,https://pages.charlotte.edu/connections/people/bradfor7/,Yinghao Pan,https://pages.charlotte.edu/connections/people/ypan8/,Douglas Markant,https://pages.charlotte.edu/connections/people/dmarkant/
human-computer interaction,Dimitrios Papanikolaou,https://pages.charlotte.edu/connections/people/dpapanik/,Mary Maher,https://pages.charlotte.edu/connections/people/mmaher9/,David Wilson,https://pages.charlotte.edu/connections/people/davils/
computer vision,Andrew Willis,https://pages.charlotte.edu/connections/people/arwillis/,Min Shin,https://pages.charlotte.edu/connections/people/mcshin/,,
cyber security,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Bei-Tseng Chu,https://pages.charlotte.edu/connections/people/billchu/,,
internet of things,Tao Han,https://pages.charlotte.edu/connections/people/than3/,Mohamed Shehab,https://pages.charlotte.edu/connections/people/mshehab/,Weichao Wang,https://pages.charlotte.edu/connections/people/wwang22/
social media,Erika Montanaro,https://pages.charlotte.edu/connections/people/emontana/,Sangkil Moon,https://pages.charlotte.edu/connections/people/smoon13/,Heather Freeman,https://pages.charlotte.edu/connections/people/hdfreema/
biomedical,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,,,,
computational biology,Daniel Janies,https://pages.charlotte.edu/connections/people/djanies/,Cory Brouwer,https://pages.charlotte.edu/connections/people/cbrouwer/,,
genomics,Tingting Xiang,https://pages.charlotte.edu/connections/people/txiang/,Kausik Chakrabarti,https://pages.charlotte.edu/connections/people/kchakrab/,Anthony Fodor,https://pages.charlotte.edu/connections/people/afodor/
visualization,Elizabeth Yoder,https://pages.charlotte.edu/connections/people/eyoder1/,Kalpathi Subramanian,https://pages.charlotte.edu/connections/people/krs/,Zachary Wartell,https://pages.charlotte.edu/connections/people/zwartell/
video analysis,Jianping Fan,https://pages.charlotte.edu/connections/people/jfan/,,,,
gene sequencing,Jessica Schlueter,https://pages.charlotte.edu/connections/people/jschluet/,Daniel Janies,https://pages.charlotte.edu/connections/people/djanies/,Cory Brouwer,https://pages.charlotte.edu/connections/people/cbrouwer/
